Run # 1
Initial state: 0 0.356877 0.263729 0.717416 0.827309 0.487652 0.852157 0.245557 0.0245496 0.131471 0.680615 0.335297 0.0318743 0.400034 0.680848 0.163681 0.295179 0.474347 0.200345 0.532935 0.315619 0.60159 0.0682529 0.0120114 0.154711 0.993613 0.734331 0.449264 0.867763 0.809572 0.0605711 0.693457 0.680598 0.0767329 0.72529 0.777823 0.907612 0.748361 0.258664 0.823162 0.0442804 0.610777 0.829969 0.0931882 0.249613 0.925985 0.549031 0.371496 0.00967081 0.456376 0.180336 0.948217 0.00520256 0.367508 0.230698 0.452786 0.172648 0.457081 0.557133 0.538954 0.734255 0.238619 0.932019 0.824172 0.137905 0.841426 0.242899 0.0645238 0.443155 0.841846 0.0801513 0.173179 0.0737323 0.668562 0.616106 0.0457203 0.74386 0.330767 0.873089 0.0560447 0.590828 0.621645 0.328518 0.363043 0.0808673 0.955865 0.714731 0.0889871 0.505744 0.711059 0.814468 0.452837 0.176939 0.57087 0.987229 0.612863 0.160991 0.351813 0.705587 0.301551 0.577294 0.909828 0.330829 0.155567 0.871079 0.767993 0.80214 0.243567 0.0588184 0.854373 0.145358 0.763143 0.573245 0.702627 0.741662 0.804322 0.847504 0.861885 0.296353 0.372962 0.884863 0.271992 0.661711 0.0350986 0.0513969 0.952391 0.0715521 0.94423 0.781717 0.0667106 0.458604 0.990795 0.271802 0.348608 0.107079 0.238429 0.297387 0.622142 0.5561 0.799946 0.234554 0.780567 0.368418 0.938015 0.925744 0.809507 0.242743 0.147044 0.0233722 0.666728 0.696231 0.629772 0.333101 0.119066 0.626946 0.641943 0.874569 0.362655 0.740336 0.457762 0.204534 0.852099 0.844101 0.694397 0.124096 0.79681 0.256423 0.0158868 0.798006 0.99365 0.904158 0.70614 0.695426 0.222509 0.585575 0.915952 0.291006 0.633704 0.779661 0.700414 0.684042 0.543896 0.89734 0.866934 0.526228 0.418796 0.464695 0.151251 0.154536 0.247959 0.612794 0.336657 0.273171 0.059715 0.934875 0.649277 0.459699 0.658947 0.910017 0.981576 0.578501 w: 1

t = 0
Improving policy...
PLANNING FROM:
action 63, numVisits=0, meanQ=-inf, numObservations: 0
action 75, numVisits=0, meanQ=-inf, numObservations: 0
action 74, numVisits=0, meanQ=-inf, numObservations: 0
action 73, numVisits=0, meanQ=-inf, numObservations: 0
action 72, numVisits=0, meanQ=-inf, numObservations: 0
action 71, numVisits=0, meanQ=-inf, numObservations: 0
action 70, numVisits=0, meanQ=-inf, numObservations: 0
action 69, numVisits=0, meanQ=-inf, numObservations: 0
action 68, numVisits=0, meanQ=-inf, numObservations: 0
action 67, numVisits=0, meanQ=-inf, numObservations: 0
action 66, numVisits=0, meanQ=-inf, numObservations: 0
action 65, numVisits=0, meanQ=-inf, numObservations: 0
action 64, numVisits=0, meanQ=-inf, numObservations: 0
action 76, numVisits=0, meanQ=-inf, numObservations: 0
action 62, numVisits=0, meanQ=-inf, numObservations: 0
action 61, numVisits=0, meanQ=-inf, numObservations: 0
action 60, numVisits=0, meanQ=-inf, numObservations: 0
action 59, numVisits=0, meanQ=-inf, numObservations: 0
action 58, numVisits=0, meanQ=-inf, numObservations: 0
action 57, numVisits=0, meanQ=-inf, numObservations: 0
action 56, numVisits=0, meanQ=-inf, numObservations: 0
action 55, numVisits=0, meanQ=-inf, numObservations: 0
action 54, numVisits=0, meanQ=-inf, numObservations: 0
action 53, numVisits=0, meanQ=-inf, numObservations: 0
action 52, numVisits=0, meanQ=-inf, numObservations: 0
action 51, numVisits=0, meanQ=-inf, numObservations: 0
action 88, numVisits=0, meanQ=-inf, numObservations: 0
action 100, numVisits=0, meanQ=-inf, numObservations: 0
action 99, numVisits=0, meanQ=-inf, numObservations: 0
action 98, numVisits=0, meanQ=-inf, numObservations: 0
action 97, numVisits=0, meanQ=-inf, numObservations: 0
action 96, numVisits=0, meanQ=-inf, numObservations: 0
action 95, numVisits=0, meanQ=-inf, numObservations: 0
action 94, numVisits=0, meanQ=-inf, numObservations: 0
action 93, numVisits=0, meanQ=-inf, numObservations: 0
action 92, numVisits=0, meanQ=-inf, numObservations: 0
action 91, numVisits=0, meanQ=-inf, numObservations: 0
action 90, numVisits=0, meanQ=-inf, numObservations: 0
action 89, numVisits=0, meanQ=-inf, numObservations: 0
action 50, numVisits=0, meanQ=-inf, numObservations: 0
action 87, numVisits=0, meanQ=-inf, numObservations: 0
action 86, numVisits=0, meanQ=-inf, numObservations: 0
action 85, numVisits=0, meanQ=-inf, numObservations: 0
action 84, numVisits=0, meanQ=-inf, numObservations: 0
action 83, numVisits=0, meanQ=-inf, numObservations: 0
action 82, numVisits=0, meanQ=-inf, numObservations: 0
action 81, numVisits=0, meanQ=-inf, numObservations: 0
action 80, numVisits=0, meanQ=-inf, numObservations: 0
action 79, numVisits=0, meanQ=-inf, numObservations: 0
action 78, numVisits=0, meanQ=-inf, numObservations: 0
action 77, numVisits=0, meanQ=-inf, numObservations: 0
action 12, numVisits=0, meanQ=-inf, numObservations: 0
action 24, numVisits=0, meanQ=-inf, numObservations: 0
action 23, numVisits=0, meanQ=-inf, numObservations: 0
action 22, numVisits=0, meanQ=-inf, numObservations: 0
action 21, numVisits=0, meanQ=-inf, numObservations: 0
action 20, numVisits=0, meanQ=-inf, numObservations: 0
action 19, numVisits=0, meanQ=-inf, numObservations: 0
action 18, numVisits=0, meanQ=-inf, numObservations: 0
action 17, numVisits=0, meanQ=-inf, numObservations: 0
action 16, numVisits=0, meanQ=-inf, numObservations: 0
action 15, numVisits=0, meanQ=-inf, numObservations: 0
action 14, numVisits=0, meanQ=-inf, numObservations: 0
action 13, numVisits=0, meanQ=-inf, numObservations: 0
action 25, numVisits=0, meanQ=-inf, numObservations: 0
action 11, numVisits=0, meanQ=-inf, numObservations: 0
action 10, numVisits=0, meanQ=-inf, numObservations: 0
action 9, numVisits=0, meanQ=-inf, numObservations: 0
action 8, numVisits=0, meanQ=-inf, numObservations: 0
action 7, numVisits=0, meanQ=-inf, numObservations: 0
action 6, numVisits=0, meanQ=-inf, numObservations: 0
action 5, numVisits=0, meanQ=-inf, numObservations: 0
action 4, numVisits=0, meanQ=-inf, numObservations: 0
action 3, numVisits=0, meanQ=-inf, numObservations: 0
action 2, numVisits=0, meanQ=-inf, numObservations: 0
action 1, numVisits=0, meanQ=-inf, numObservations: 0
action 0, numVisits=0, meanQ=-inf, numObservations: 0
action 37, numVisits=0, meanQ=-inf, numObservations: 0
action 49, numVisits=0, meanQ=-inf, numObservations: 0
action 48, numVisits=0, meanQ=-inf, numObservations: 0
action 47, numVisits=0, meanQ=-inf, numObservations: 0
action 46, numVisits=0, meanQ=-inf, numObservations: 0
action 45, numVisits=0, meanQ=-inf, numObservations: 0
action 44, numVisits=0, meanQ=-inf, numObservations: 0
action 43, numVisits=0, meanQ=-inf, numObservations: 0
action 42, numVisits=0, meanQ=-inf, numObservations: 0
action 41, numVisits=0, meanQ=-inf, numObservations: 0
action 40, numVisits=0, meanQ=-inf, numObservations: 0
action 39, numVisits=0, meanQ=-inf, numObservations: 0
action 38, numVisits=0, meanQ=-inf, numObservations: 0
action -1, numVisits=0, meanQ=-inf, numObservations: 0
action 36, numVisits=0, meanQ=-inf, numObservations: 0
action 35, numVisits=0, meanQ=-inf, numObservations: 0
action 34, numVisits=0, meanQ=-inf, numObservations: 0
action 33, numVisits=0, meanQ=-inf, numObservations: 0
action 32, numVisits=0, meanQ=-inf, numObservations: 0
action 31, numVisits=0, meanQ=-inf, numObservations: 0
action 30, numVisits=0, meanQ=-inf, numObservations: 0
action 29, numVisits=0, meanQ=-inf, numObservations: 0
action 28, numVisits=0, meanQ=-inf, numObservations: 0
action 27, numVisits=0, meanQ=-inf, numObservations: 0
action 26, numVisits=0, meanQ=-inf, numObservations: 0
Sampled 52325 episodes
GETTING ACTION FROM:
action 99, numVisits=51983, meanQ=9.009388, numObservations: 9
action 51, numVisits=32, meanQ=7.352506, numObservations: 6
action 50, numVisits=28, meanQ=6.965729, numObservations: 8
action 7, numVisits=15, meanQ=6.931333, numObservations: 6
action 94, numVisits=12, meanQ=6.812500, numObservations: 6
action 21, numVisits=21, meanQ=6.679533, numObservations: 6
action 95, numVisits=9, meanQ=6.331111, numObservations: 5
action 88, numVisits=13, meanQ=6.083846, numObservations: 5
action 14, numVisits=13, meanQ=6.056923, numObservations: 7
action 45, numVisits=11, meanQ=5.976364, numObservations: 4
action 24, numVisits=7, meanQ=5.727143, numObservations: 5
action 90, numVisits=7, meanQ=5.715729, numObservations: 6
action 33, numVisits=7, meanQ=5.141429, numObservations: 5
action 62, numVisits=7, meanQ=5.141429, numObservations: 5
action 98, numVisits=3, meanQ=4.670033, numObservations: 2
action 76, numVisits=6, meanQ=4.661667, numObservations: 3
action 18, numVisits=5, meanQ=4.598000, numObservations: 3
action 65, numVisits=5, meanQ=4.598000, numObservations: 4
action 72, numVisits=5, meanQ=4.598000, numObservations: 3
action 75, numVisits=5, meanQ=4.598000, numObservations: 5
action 39, numVisits=6, meanQ=4.013333, numObservations: 5
action 13, numVisits=3, meanQ=3.330000, numObservations: 3
action 93, numVisits=6, meanQ=3.330000, numObservations: 4
action 30, numVisits=3, meanQ=3.330000, numObservations: 3
action 57, numVisits=6, meanQ=3.330000, numObservations: 4
action 54, numVisits=3, meanQ=3.330000, numObservations: 3
action 3, numVisits=3, meanQ=3.330000, numObservations: 2
action 67, numVisits=3, meanQ=3.330000, numObservations: 3
action 25, numVisits=3, meanQ=3.330000, numObservations: 3
action 23, numVisits=3, meanQ=3.330000, numObservations: 3
action 58, numVisits=5, meanQ=3.000000, numObservations: 3
action 53, numVisits=3, meanQ=2.033333, numObservations: 2
action 92, numVisits=4, meanQ=1.745000, numObservations: 4
action 22, numVisits=4, meanQ=1.745000, numObservations: 3
action 28, numVisits=3, meanQ=0.666667, numObservations: 3
action 78, numVisits=3, meanQ=0.666667, numObservations: 2
action 49, numVisits=3, meanQ=0.666667, numObservations: 3
action 36, numVisits=3, meanQ=0.666667, numObservations: 3
action 0, numVisits=1, meanQ=-1.010000, numObservations: 1
action -1, numVisits=1, meanQ=-1.010000, numObservations: 1
action 83, numVisits=1, meanQ=-3.010000, numObservations: 1
action 64, numVisits=1, meanQ=-3.010000, numObservations: 1
action 68, numVisits=1, meanQ=-3.010000, numObservations: 1
action 38, numVisits=1, meanQ=-3.010000, numObservations: 1
action 70, numVisits=1, meanQ=-3.010000, numObservations: 1
action 15, numVisits=1, meanQ=-3.010000, numObservations: 1
action 74, numVisits=1, meanQ=-3.010000, numObservations: 1
action 11, numVisits=1, meanQ=-3.010000, numObservations: 1
action 79, numVisits=1, meanQ=-3.010000, numObservations: 1
action 80, numVisits=1, meanQ=-3.010000, numObservations: 1
action 81, numVisits=1, meanQ=-3.010000, numObservations: 1
action 69, numVisits=1, meanQ=-3.010000, numObservations: 1
action 86, numVisits=1, meanQ=-3.010000, numObservations: 1
action 89, numVisits=1, meanQ=-3.010000, numObservations: 1
action 8, numVisits=1, meanQ=-3.010000, numObservations: 1
action 91, numVisits=1, meanQ=-3.010000, numObservations: 1
action 2, numVisits=1, meanQ=-3.010000, numObservations: 1
action 96, numVisits=1, meanQ=-3.010000, numObservations: 1
action 97, numVisits=1, meanQ=-3.010000, numObservations: 1
action 1, numVisits=1, meanQ=-3.010000, numObservations: 1
action 100, numVisits=1, meanQ=-3.010000, numObservations: 1
action 37, numVisits=1, meanQ=-3.010000, numObservations: 1
action 34, numVisits=1, meanQ=-3.010000, numObservations: 1
action 48, numVisits=1, meanQ=-3.010000, numObservations: 1
action 32, numVisits=1, meanQ=-3.010000, numObservations: 1
action 47, numVisits=1, meanQ=-3.010000, numObservations: 1
action 46, numVisits=1, meanQ=-3.010000, numObservations: 1
action 29, numVisits=1, meanQ=-3.010000, numObservations: 1
action 35, numVisits=1, meanQ=-3.010000, numObservations: 1
action 27, numVisits=1, meanQ=-3.010000, numObservations: 1
action 55, numVisits=1, meanQ=-3.010000, numObservations: 1
action 56, numVisits=1, meanQ=-3.010000, numObservations: 1
action 26, numVisits=1, meanQ=-3.010000, numObservations: 1
action 42, numVisits=1, meanQ=-3.010000, numObservations: 1
action 59, numVisits=1, meanQ=-3.010000, numObservations: 1
action 41, numVisits=1, meanQ=-3.010000, numObservations: 1
action 5, numVisits=1, meanQ=-11.000000, numObservations: 1
action 6, numVisits=1, meanQ=-11.000000, numObservations: 1
action 4, numVisits=1, meanQ=-11.000000, numObservations: 1
action 44, numVisits=1, meanQ=-11.000000, numObservations: 1
action 43, numVisits=1, meanQ=-11.000000, numObservations: 1
action 9, numVisits=1, meanQ=-11.000000, numObservations: 1
action 87, numVisits=1, meanQ=-11.000000, numObservations: 1
action 40, numVisits=1, meanQ=-11.000000, numObservations: 1
action 31, numVisits=1, meanQ=-11.000000, numObservations: 1
action 85, numVisits=1, meanQ=-11.000000, numObservations: 1
action 84, numVisits=1, meanQ=-11.000000, numObservations: 1
action 82, numVisits=1, meanQ=-11.000000, numObservations: 1
action 60, numVisits=1, meanQ=-11.000000, numObservations: 1
action 52, numVisits=1, meanQ=-11.000000, numObservations: 1
action 10, numVisits=1, meanQ=-11.000000, numObservations: 1
action 77, numVisits=1, meanQ=-11.000000, numObservations: 1
action 12, numVisits=1, meanQ=-11.000000, numObservations: 1
action 73, numVisits=1, meanQ=-11.000000, numObservations: 1
action 71, numVisits=1, meanQ=-11.000000, numObservations: 1
action 20, numVisits=1, meanQ=-11.000000, numObservations: 1
action 16, numVisits=1, meanQ=-11.000000, numObservations: 1
action 66, numVisits=1, meanQ=-11.000000, numObservations: 1
action 17, numVisits=1, meanQ=-11.000000, numObservations: 1
action 63, numVisits=1, meanQ=-11.000000, numObservations: 1
action 19, numVisits=1, meanQ=-11.000000, numObservations: 1
action 61, numVisits=1, meanQ=-11.000000, numObservations: 1
action: 99
Next state: 1 0.356877 0.263729 0.717416 0.827309 0.487652 0.852157 0.245557 0.0245496 0.131471 0.680615 0.335297 0.0318743 0.400034 0.680848 0.163681 0.295179 0.474347 0.200345 0.532935 0.315619 0.60159 0.0682529 0.0120114 0.154711 0.993613 0.734331 0.449264 0.867763 0.809572 0.0605711 0.693457 0.680598 0.0767329 0.72529 0.777823 0.907612 0.748361 0.258664 0.823162 0.0442804 0.610777 0.829969 0.0931882 0.249613 0.925985 0.549031 0.371496 0.00967081 0.456376 0.180336 0.948217 0.00520256 0.367508 0.230698 0.452786 0.172648 0.457081 0.557133 0.538954 0.734255 0.238619 0.932019 0.824172 0.137905 0.841426 0.242899 0.0645238 0.443155 0.841846 0.0801513 0.173179 0.0737323 0.668562 0.616106 0.0457203 0.74386 0.330767 0.873089 0.0560447 0.590828 0.621645 0.328518 0.363043 0.0808673 0.955865 0.714731 0.0889871 0.505744 0.711059 0.814468 0.452837 0.176939 0.57087 0.987229 0.612863 0.160991 0.351813 0.705587 0.301551 0.577294 0.909828 0.330829 0.155567 0.871079 0.767993 0.80214 0.243567 0.0588184 0.854373 0.145358 0.763143 0.573245 0.702627 0.741662 0.804322 0.847504 0.861885 0.296353 0.372962 0.884863 0.271992 0.661711 0.0350986 0.0513969 0.952391 0.0715521 0.94423 0.781717 0.0667106 0.458604 0.990795 0.271802 0.348608 0.107079 0.238429 0.297387 0.622142 0.5561 0.799946 0.234554 0.780567 0.368418 0.938015 0.925744 0.809507 0.242743 0.147044 0.0233722 0.666728 0.696231 0.629772 0.333101 0.119066 0.626946 0.641943 0.874569 0.362655 0.740336 0.457762 0.204534 0.852099 0.844101 0.694397 0.124096 0.79681 0.256423 0.0158868 0.798006 0.99365 0.904158 0.70614 0.695426 0.222509 0.585575 0.915952 0.291006 0.633704 0.779661 0.700414 0.684042 0.543896 0.89734 0.866934 0.526228 0.418796 0.464695 0.151251 0.154536 0.247959 0.612794 0.336657 0.273171 0.059715 0.934875 0.649277 0.459699 0.658947 0.910017 0.981576 0.578501 w: 1
Observation: 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 3 0 0 
Immediate reward: 24
Terminal state reached!
Updated belief
Run finished 
Discounted reward: 24
Run # 2
